charity_id,last_updated
1,Last Activity was 4 days ago 
2,no data
3,no data
4,no data
5,no data
6,Last Activity was today
7,Last Activity was 3 days ago 
8,Last Activity was 3 days ago 
9,Last Activity was 3 days ago 
10,no data
11,no data
12,no data
13,no data
14,no data
15,no data
16,no data
17,no data
18,Last Activity was today
19,Last Activity was today
20,Last Activity was today
21,Last Activity was today
22,Last Activity was today
23,Last Activity was today
24,Last Activity was today
25,Last Activity was today
26,Last Activity was today
27,Last Activity was today
28,Last Activity was 1 months ago
29,Last Activity was 2 months ago
30,Last Activity was 2 months ago
31,Last Activity was 3 days ago 
32,Last Activity was 2 months ago
33,Last Activity was 2 days ago 
